iter	RMSE
0	0.1169848931
1	0.1077556934
2	0.09960879489
3	0.09209380034
4	0.08562029131
5	0.07980114226
6	0.07483398272
7	0.07029709186
8	0.06636761766
9	0.062988468
10	0.06018367311
11	0.05760681656
12	0.05544211511
13	0.05360267205
14	0.05198460046
15	0.05066892093
16	0.04957642716
17	0.04862754788
18	0.04765734351
19	0.04696443919
20	0.04638210293
21	0.04581528552
22	0.04538689602
23	0.04503168437
24	0.04456562909
25	0.04431775083
26	0.04395419296
27	0.0437713844
28	0.04347077241
29	0.04335379813
30	0.04313930736
31	0.04303766842
32	0.04285902151
33	0.04269667713
34	0.04262897375
35	0.04258418165
36	0.04245781638
37	0.04240836135
38	0.04232491496
39	0.04229653356
40	0.04226082317
41	0.0422324229
42	0.04215267293
43	0.04210173985
44	0.04207383339
45	0.04205424266
46	0.0419975948
47	0.04194811274
48	0.04193799888
49	0.04189534395
50	0.04185741396
51	0.04184420958
52	0.04183126457
53	0.0417944714
54	0.04178226455
55	0.04175983821
56	0.04175254012
57	0.04172284537
58	0.04171202923
59	0.04168399143
60	0.04166040439
61	0.04164036559
62	0.0416207079
63	0.04161199412
64	0.04159724041
65	0.04158187209
66	0.04155703896
67	0.04151404678
68	0.04150704551
69	0.0414890985
70	0.04147340973
71	0.04146688028
72	0.04145680844
73	0.04143158728
74	0.04141827432
75	0.04141139891
76	0.0414020291
77	0.04137541821
78	0.04135699246
79	0.04134406187
80	0.04131755576
81	0.04130796779
82	0.04129805241
83	0.04128116557
84	0.04126603207
85	0.04125063225
86	0.04124534743
87	0.0412357331
88	0.04122531202
89	0.04121348419
90	0.04119712561
91	0.04118637129
92	0.0411797917
93	0.04117558954
94	0.041148475
95	0.04111855975
96	0.04111040028
97	0.04110106009
98	0.04107762124
99	0.04106627168
